Names,Male,Female
Agricultural & Biological Engr ,33,17
Nondegree ,2,2
Engineering Physics ,41,3
Physics ,66,17
Civil Engineering ,235,96
Environ Engr in Civil Engr ,18,32
Environ Science in Civil Engr ,0,1
Bioengineering ,55,50
General Engineering ,36,21
Industrial Engineering ,61,22
Systems & Entrepreneurial Engr ,8,2
Computer Science ,318,96
Bioinformatics ,2,0
Financial Engineering ,13,8
Engineering Undeclared ,4,4
Aerospace Engineering ,120,11
Engineering Mechanics ,23,4
Mechanical Engineering ,333,59
Theoretical & Applied Mechans ,32,9
Materials Science & Engr ,103,42
Computer Engineering ,183,23
Electrical Engineering ,232,43
Electrical & Computer Engr ,275,45
"Nuclear, Plasma, Radiolgc Engr ",48,10
Nuclear Engineering ,1,0
